id,title,director,movice_type,producer_country,language,release_time,film_length,score,comment_num
3319755,怦然心动 Flipped,罗伯·莱纳,"剧情,喜剧,爱情",美国,英语,2010-07-26(好莱坞首映),90分钟,9.1,1643308
1295038,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,克里斯·哥伦布,"奇幻,冒险","美国,英国",英语,2002-01-26(中国大陆),152分钟,9.1,1025052
35307435,八角亭谜雾,,"悬疑,家庭,犯罪",中国大陆,汉语普通话,,,5.6,67804
20495023,寻梦环游记 Coco,李·昂克里奇,"喜剧,动画,音乐,奇幻",美国,"英语,西班牙语",2017-11-24(中国大陆),105分钟,9.1,1463645
1292064,楚门的世界 The Truman Show,彼得·威尔,"剧情,科幻",美国,英语,1998-06-05(美国),103分钟,9.3,1470890
27060077,绿皮书 Green Book,彼得·法雷里,"剧情,喜剧,音乐,传记","美国,中国大陆","英语,意大利语,俄语,德语",2019-03-01(中国大陆),130分钟,8.9,1434348
1291546,霸王别姬,陈凯歌,"剧情,爱情,同性","中国大陆,中国香港",汉语普通话,1993-07-26(中国大陆),171分钟,9.6,1919651
26683290,你的名字。 君の名は。,新海诚,"剧情,爱情,动画",日本,日语,2016-12-02(中国大陆),106分钟,8.5,1244129
26662331,图兰朵：魔咒缘起,郑晓龙,"爱情,奇幻",中国大陆,汉语普通话,2021-10-15(中国大陆),111分钟,3.1,27424
26266893,流浪地球,郭帆,"科幻,冒险,灾难",中国大陆,"汉语普通话,英语,俄语,法语,日语,韩语,印尼语",2019-02-05(中国大陆),125分钟,7.9,1752778
35172465,我的名字 마이네임,,"动作,惊悚",韩国,韩语,,,7.8,37098
3742360,让子弹飞,姜文,"剧情,喜剧,动作,西部","中国大陆,中国香港","汉语普通话,四川话,山西话",2010-12-16(中国大陆),132分钟,8.9,1495373
30166972,少年的你,曾国祥,"剧情,爱情,犯罪","中国大陆,中国香港",汉语普通话,2019-10-25(中国大陆),135分钟,8.2,1358875
3541415,盗梦空间 Inception,克里斯托弗·诺兰,"剧情,科幻,悬疑,冒险","美国,英国","英语,日语,法语",2010-09-01(中国大陆),148分钟,9.4,1863954
1889243,星际穿越 Interstellar,克里斯托弗·诺兰,"剧情,科幻,冒险","美国,英国,加拿大",英语,2014-11-12(中国大陆),169分钟,9.4,1549270
3793023,三傻大闹宝莱坞 3 Idiots,拉吉库马尔·希拉尼,"剧情,喜剧,爱情,歌舞",印度,"印地语,乌尔都语,英语",2011-12-08(中国大陆),171分钟(印度),9.2,1692922
25986180,釜山行 부산행,延尚昊,"动作,惊悚,灾难",韩国,韩语,2016-05-13(戛纳电影节),118分钟,8.6,1069706
34951103,功勋,,"剧情,传记",中国大陆,汉语普通话,,,9.0,63436
32659890,我和我的祖国,陈凯歌,剧情,中国大陆,汉语普通话,2019-09-30(中国大陆),155分钟,7.6,938658
27619748,唐人街探案3,陈思诚,"喜剧,悬疑","中国大陆,中国香港,日本","汉语普通话,日语,英语,泰语",2021-02-12(中国大陆),136分钟,5.3,994820
27605698,西虹市首富,闫非,喜剧,中国大陆,汉语普通话,2018-07-27(中国大陆),118分钟,6.6,937167
1292001,海上钢琴师 La leggenda del pianista sull'oceano,朱塞佩·托纳多雷,"剧情,音乐",意大利,"英语,法语,意大利语",2019-11-15(中国大陆),165分钟,9.3,1514793
1291543,功夫,周星驰,"喜剧,动作,犯罪,奇幻","中国大陆,中国香港","粤语,汉语普通话,手语",2004-12-23(中国大陆/中国香港),100分钟(3D重映),8.7,959130
1849031,当幸福来敲门 The Pursuit of Happyness,加布里埃莱·穆奇诺,"剧情,家庭,传记",美国,"英语,粤语",2008-01-17(中国大陆),117分钟,9.2,1372340
1292220,情书 Love Letter,岩井俊二,"剧情,爱情",日本,日语,1999-03(中国大陆),117分钟,8.9,959854
1299398,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,刘镇伟,"喜剧,爱情,奇幻,古装","中国香港,中国大陆","粤语,汉语普通话",2014-10-24(中国大陆),87分钟,9.0,1103387
1306249,唐伯虎点秋香 唐伯虎點秋香,李力持,"喜剧,爱情,古装",中国香港,粤语,1993-07-01(中国香港),102 分钟,8.7,955700
1652587,阿凡达 Avatar,詹姆斯·卡梅隆,"动作,科幻,冒险",美国,"英语,西班牙语",2010-01-04(中国大陆),162分钟,8.8,1249111
34820925,钛 Titane,朱利亚·迪库诺,"剧情,恐怖","法国,比利时",法语,2021-07-13(戛纳电影节),108分钟,6.4,46911
1307914,无间道 無間道,刘伟强,"剧情,惊悚,犯罪",中国香港,粤语,2003-09-05(中国大陆),101分钟,9.3,1190040
34966169,性爱自修室 第三季 Sex Education Season 3,,"剧情,喜剧,爱情",英国,英语,,,9.0,100413
2129039,飞屋环游记 Up,彼特·道格特,"剧情,喜剧,动画,冒险",美国,英语,2009-08-04(中国大陆),96分钟,9.1,1193682
3011091,忠犬八公的故事 Hachi: A Dog's Tale,拉斯·霍尔斯道姆,剧情,"美国,英国","英语,日语",2009-06-13(西雅图电影节),93分钟,9.4,1276393
25964071,夏洛特烦恼,闫非,"喜剧,爱情",中国大陆,汉语普通话,2015-09-30(中国大陆),104分钟,7.8,858727
1291560,龙猫 となりのトトロ,宫崎骏,"动画,奇幻,冒险",日本,日语,2018-12-14(中国大陆),86分钟,9.2,1141671
26861685,红海行动,林超贤,"动作,战争","中国大陆,中国香港","汉语普通话,阿拉伯语,英语,索马里语,粤语",2018-02-16(中国大陆),138分钟,8.3,958738
26698897,唐人街探案2,陈思诚,"喜剧,动作,悬疑",中国大陆,"汉语普通话,英语,日语,粤语",2018-02-16(中国大陆),121分钟,6.6,845992
1296996,哈利·波特与密室 Harry Potter and the Chamber of Secrets,克里斯·哥伦布,"奇幻,冒险","英国,美国",英语,2003-01-24(中国大陆),161分钟,8.8,639372
4920389,头号玩家 Ready Player One,史蒂文·斯皮尔伯格,"动作,科幻,冒险",美国,"英语,日语,汉语普通话",2018-03-30(中国大陆),140分钟,8.7,1231075
30170448,何以为家 كفرناحوم,娜丁·拉巴基,剧情,"黎巴嫩,美国,法国,塞浦路斯,卡塔尔,英国","阿拉伯语,阿姆哈拉语",2019-04-29(中国大陆),126分钟,9.1,927223
1291544,哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,阿方索·卡隆,"奇幻,冒险","英国,美国",英语,2004-09-10(中国大陆),141 分钟,8.9,613125
6786002,触不可及 Intouchables,奥利维埃·纳卡什,"剧情,喜剧",法国,法语,2011-11-02(法国),112分钟,9.3,949415
35030151,五个扑水的少年,宋灏霖,"喜剧,运动",中国大陆,汉语普通话,2021-10-01(中国大陆),111分钟,7.2,125915
1291549,放牛班的春天 Les choristes,克里斯托夫·巴拉蒂,"剧情,喜剧,音乐","法国,瑞士,德国",法语,2004-10-16(中国大陆),97分钟,9.3,1178482
1309055,哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,迈克·内威尔,"悬疑,奇幻,冒险","英国,美国","英语,法语",2005-11-18(中国大陆),157 分钟,8.7,555974
11026735,超能陆战队 Big Hero 6,唐·霍尔,"喜剧,动作,科幻,动画,冒险",美国,英语,2015-02-28(中国大陆),102分钟,8.7,906215
26363254,战狼2,吴京,"动作,战争",中国大陆,"汉语普通话,英语",2017-07-27(中国大陆),123分钟,7.1,840767
1305487,猫鼠游戏 Catch Me If You Can,史蒂文·斯皮尔伯格,"剧情,传记,犯罪","美国,加拿大","英语,法语",2003-04-11(中国大陆),141 分钟,9.1,862690
26754233,八佰,管虎,"剧情,历史,战争",中国大陆,"汉语普通话,日语,英语",2020-08-21(中国大陆),147分钟(公映版),7.5,751379
26580232,看不见的客人 Contratiempo,奥里奥尔·保罗,"剧情,悬疑,惊悚,犯罪",西班牙,西班牙语,2017-09-15(中国大陆),106分钟,8.8,1114941
30435124,白蛇2：青蛇劫起,黄家康,"动画,奇幻,冒险",中国大陆,汉语普通话,2021-07-23(中国大陆),131分钟,6.8,336375
26100958,复仇者联盟4：终局之战 Avengers: Endgame,安东尼·罗素,"剧情,动作,科幻,奇幻,冒险",美国,"英语,日语,科萨语",2019-04-24(中国大陆),181分钟,8.5,994457
3011235,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,大卫·叶茨,"奇幻,冒险","美国,英国",英语,2011-08-04(中国大陆),130分钟,8.9,726512
1292063,美丽人生 La vita è bella,罗伯托·贝尼尼,"剧情,喜剧,爱情,战争",意大利,"意大利语,德语,英语",2020-01-03(中国大陆),116分钟,9.6,1193337
3287562,神偷奶爸 Despicable Me,皮埃尔·柯芬,"喜剧,动画,冒险","美国,法国",英语,2010-06-20(莫斯科电影节),95分钟,8.6,860340
35051512,我和我的家乡,宁浩,"剧情,喜剧",中国大陆,汉语普通话,2020-10-01(中国大陆),153分钟,7.0,592430
2131459,机器人总动员 WALL·E,安德鲁·斯坦顿,"科幻,动画,冒险",美国,英语,2008-06-27(美国),98分钟,9.3,1193825
1308807,哈尔的移动城堡 ハウルの動く城,宫崎骏,"动画,奇幻,冒险",日本,日语,2004-09-05(威尼斯电影节),119分钟,9.1,901433
27119724,小丑 Joker,托德·菲利普斯,"剧情,惊悚,犯罪","美国,加拿大",英语,2019-08-31(威尼斯电影节),122分钟,8.7,899552
30334073,调音师 Andhadhun,斯里兰姆·拉格万,"喜剧,悬疑,惊悚,犯罪",印度,"印地语,英语",2019-04-03(中国大陆),139分钟,8.2,855913
34927916,不速来客,刘翔,"喜剧,悬疑",中国大陆,汉语普通话,2021-10-22(中国大陆),107分钟,6.6,77302
1457217,哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix,大卫·叶茨,"奇幻,冒险","英国,美国",英语,2007-08-10(中国大陆),138分钟,8.4,482052
35182804,启航：当风起时,,剧情,中国大陆,汉语普通话,,,7.6,26281
1295124,辛德勒的名单 Schindler's List,史蒂文·斯皮尔伯格,"剧情,历史,战争",美国,"英语,希伯来语,德语,波兰语",1993-11-30(华盛顿首映),195分钟,9.6,995220
1302425,喜剧之王 喜劇之王,周星驰,"剧情,喜剧,爱情",中国香港,粤语,1999-02-13(中国香港),89分钟,8.8,863679
1433330,哈利·波特与混血王子 Harry Potter and the Half-Blood Prince,大卫·叶茨,"奇幻,冒险","英国,美国",英语,2009-07-15(中国大陆),153分钟,8.2,461291
1292213,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,刘镇伟,"喜剧,爱情,奇幻,古装","中国香港,中国大陆","粤语,汉语普通话",2014-10-24(中国大陆),95分钟,9.2,1384101
25921812,驴得水,周申,"剧情,喜剧",中国大陆,汉语普通话,2016-10-28(中国大陆),111分钟,8.3,835585
27110296,无名之辈,饶晓志,"剧情,喜剧",中国大陆,"汉语普通话,贵州方言",2018-11-16(中国大陆),108分钟,8.0,950133
2051007,哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,大卫·叶茨,"奇幻,冒险","英国,美国",英语,2010-11-19(中国大陆/英国),146分钟,8.4,484081
1293172,末代皇帝 The Last Emperor,贝纳尔多·贝托鲁奇,"剧情,传记,历史","英国,意大利,中国大陆,法国","英语,汉语普通话,日语",1987-10-04(东京国际电影节),163分钟,9.3,761823
34477588,弥留之国的爱丽丝 第一季 今際の国のアリス,,"动作,科幻,悬疑,惊悚,奇幻",日本,"日语,英语",,,8.0,153542
26985127,一出好戏,黄渤,"剧情,喜剧",中国大陆,汉语普通话,2018-08-10(中国大陆),134分钟,7.1,842531
30295905,中国机长,刘伟强,"剧情,传记,灾难",中国大陆,"汉语普通话,藏语,英语,四川话",2019-09-30(中国大陆),111分钟,6.6,685566
32493124,悬崖之上,张艺谋,"剧情,动作,悬疑","中国大陆,中国香港","汉语普通话,英语,俄语",2021-04-30(中国大陆),120分钟,7.6,659706
1292402,西西里的美丽传说 Malèna,朱塞佩·托纳多雷,"剧情,情色,战争","意大利,美国","意大利语,英语,拉丁语,古希腊语",2000-10-27(意大利),109 分钟,8.9,876751
35096844,送你一朵小红花,韩延,剧情,中国大陆,汉语普通话,2020-12-31(中国大陆),128分钟,7.2,688083
1301753,狮子王 The Lion King,罗杰·阿勒斯,"动画,歌舞,冒险",美国,"英语,斯瓦希里语,科萨语,祖鲁语",1995-07-15(中国大陆),89 分钟,9.1,746728
30331149,白蛇：缘起,黄家康,"爱情,动画,奇幻","中国大陆,美国",汉语普通话,2019-01-11(中国大陆),99分钟,7.8,692930
3168101,毒液：致命守护者 Venom,鲁本·弗雷斯彻,"动作,科幻,惊悚","美国,中国大陆","英语,汉语普通话",2018-11-09(中国大陆),112分钟,7.2,772805
5912992,熔炉 도가니,黄东赫,剧情,韩国,韩语,2011-09-22(韩国),125分钟,9.3,842021
27010768,寄生虫 기생충,奉俊昊,"剧情,喜剧",韩国,"韩语,英语",2019-05-21(戛纳电影节),132分钟,8.8,1230381
32486616,嘉南传,,"剧情,爱情,古装",中国大陆,汉语普通话,,,3.7,53716
1291841,教父 The Godfather,弗朗西斯·福特·科波拉,"剧情,犯罪",美国,"英语,意大利语,拉丁语",1972-03-15(纽约首映),175 分钟,9.3,854162
1851857,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺兰,"剧情,动作,科幻,惊悚,犯罪","美国,英国","英语,汉语普通话",2008-07-14(纽约首映),152分钟,9.2,945844
1298070,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,戈尔·维宾斯基,"动作,奇幻,冒险",美国,英语,2003-11-21(中国大陆),143 分钟,8.8,772899
34874432,花束般的恋爱 花束みたいな恋をした,土井裕泰,"剧情,爱情",日本,日语,2022-02-22(中国大陆),124分钟,8.6,376821
35438177,再见爱人,,"爱情,真人秀",中国大陆,汉语普通话,,,8.9,42461
27038183,羞羞的铁拳,宋阳,"喜剧,奇幻",中国大陆,汉语普通话,2017-09-30(中国大陆),100分钟,6.8,654843
1292370,剪刀手爱德华 Edward Scissorhands,蒂姆·波顿,"剧情,爱情,奇幻",美国,英语,1990-12-06(美国),105分钟,8.7,957473
19944106,美人鱼,周星驰,"喜剧,爱情,奇幻","中国大陆,中国香港","汉语普通话,英语,日语",2016-02-08(中国大陆/中国香港),93分钟,6.7,752277
1907966,疯狂原始人 The Croods,柯克·德·米科,"喜剧,动画,冒险",美国,英语,2013-04-20(中国大陆),98分钟,8.7,764805
25934014,爱乐之城 La La Land,达米恩·查泽雷,"剧情,爱情,歌舞",美国,英语,2017-02-14(中国大陆),128分钟,8.4,771327
25815034,湄公河行动,林超贤,"剧情,动作,犯罪","中国大陆,中国香港","汉语普通话,粤语,泰语,缅甸语,英语",2016-09-30(中国大陆),124分钟,8.0,687936
24773958,复仇者联盟3：无限战争 Avengers: Infinity War,安东尼·罗素,"动作,科幻,奇幻,冒险",美国,英语,2018-05-11(中国大陆),149分钟,8.1,734690
35202793,扫黑风暴,,"剧情,犯罪",中国大陆,汉语普通话,,,7.1,347960
1291583,天空之城 天空の城ラピュタ,宫崎骏,"动画,奇幻,冒险",日本,日语,1992-05-01(中国大陆),125分钟,9.1,742045
1432146,钢铁侠 Iron Man,乔恩·费儒,"动作,科幻,惊悚,冒险",美国,"英语,波斯语,乌尔都语,阿拉伯语",2008-04-30(中国大陆),126分钟,8.4,540406
26311973,唐人街探案,陈思诚,"喜剧,动作,悬疑",中国大陆,"汉语普通话,泰语,英语",2015-12-31(中国大陆),135分钟,7.7,759689
26826330,刺杀小说家,路阳,"动作,奇幻,冒险",中国大陆,汉语普通话,2021-02-12(中国大陆),130分钟,6.5,602439
1862151,疯狂的石头,宁浩,"喜剧,犯罪","中国大陆,中国香港","汉语普通话,重庆话",2006-06-30(中国大陆),106分钟(香港),8.5,729139
33440244,一直游到海水变蓝,贾樟柯,纪录片,中国大陆,汉语普通话,2021-09-19(中国大陆),112分钟,6.7,53872
2334904,禁闭岛 Shutter Island,马丁·斯科塞斯,"剧情,悬疑,惊悚",美国,"英语,德语",2010-02-13(柏林电影节),138 分钟,8.8,862437
1293839,罗马假日 Roman Holiday,威廉·惠勒,"剧情,喜剧,爱情",美国,"英语,意大利语,德语",1953-08-20(威尼斯电影节),118分钟,9.1,866021
1291843,黑客帝国 The Matrix,莉莉·沃卓斯基,"动作,科幻",美国,英语,2000-01-14(中国大陆),136分钟,9.1,755749
1293544,沉默的羔羊 The Silence of the Lambs,乔纳森·戴米,"剧情,惊悚,犯罪",美国,英语,1991-02-14(美国),118分钟,8.9,783509
25958717,海蒂和爷爷 Heidi,阿兰·葛斯彭纳,"剧情,家庭,冒险","德国,瑞士","南非语,德语,瑞士德语",2019-05-16(中国大陆),111分钟,9.3,471885
3878007,海王 Aquaman,温子仁,"动作,奇幻,冒险","美国,澳大利亚","英语,毛利语,意大利语,俄语",2018-12-07(中国大陆),143分钟,7.6,827469
4739952,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,普特鹏·普罗萨卡·那·萨克那卡林,"剧情,喜剧,爱情",泰国,"泰语,印度尼西亚语,英语",2012-06-05(中国大陆),118分钟(泰国),8.5,906339
11525673,布达佩斯大饭店 The Grand Budapest Hotel,韦斯·安德森,"剧情,喜剧,冒险","美国,德国,英国","英语,法语,德语",2014-02-06(柏林电影节),99分钟,8.9,814499
1866479,复仇者联盟 The Avengers,乔斯·韦登,"动作,科幻,奇幻,冒险",美国,"英语,俄语",2012-05-05(中国大陆),142分钟,8.2,611802
5045678,大鱼海棠,梁旋,"剧情,动画,奇幻",中国大陆,汉语普通话,2016-07-08(中国大陆),105分钟,6.9,509877
1485260,本杰明·巴顿奇事 The Curious Case of Benjamin Button,大卫·芬奇,"剧情,爱情,奇幻",美国,"英语,俄语,法语",2008-12-25(美国),166分钟,9.0,884304
3011051,恐怖游轮 Triangle,克里斯托弗·史密斯,"剧情,悬疑,惊悚","英国,澳大利亚",英语,2009-10-16(英国),99 分钟,8.5,743968
26931786,蜘蛛侠：英雄远征 Spider-Man: Far from Home,乔·沃茨,"动作,科幻,冒险",美国,英语,2019-06-28(中国大陆),127分钟,7.6,552340
10577869,时空恋旅人 About Time,理查德·柯蒂斯,"喜剧,爱情,奇幻",英国,英语,2013-09-04(英国),123分钟,8.8,568331
21937452,素媛 소원,李濬益,剧情,韩国,韩语,2013-10-02(韩国),122分钟,9.3,607752
26425063,无双 無雙,庄文强,"剧情,动作,悬疑,犯罪","中国大陆,中国香港","汉语普通话,粤语,英语,泰语,波兰语",2018-09-30(中国大陆),130分钟,8.0,866640
1297518,九品芝麻官,王晶,"剧情,喜剧,古装","中国香港,中国大陆",粤语,1994-03-31(中国香港),108分钟,8.7,575488
27622447,小偷家族 万引き家族,是枝裕和,"剧情,家庭,犯罪",日本,日语,2018-08-03(中国大陆),117分钟(中国大陆),8.7,743292
4920528,那些年，我们一起追的女孩 那些年，我們一起追的女孩,九把刀,"剧情,喜剧,爱情",中国台湾,汉语普通话,2012-01-06(中国大陆),110分钟,8.1,826237
1291571,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,"剧情,动作,奇幻,冒险","新西兰,美国","英语,辛达林语",2002-04-04(中国大陆),179分钟,9.1,758745
1929463,少年派的奇幻漂流 Life of Pi,李安,"剧情,奇幻,冒险","美国,中国台湾,英国,加拿大","英语,泰米尔语,法语,日语,印地语,汉语普通话",2012-11-22(中国大陆),127分钟,9.1,1230074
3025375,奇异博士 Doctor Strange,斯科特·德瑞克森,"动作,奇幻,冒险",美国,英语,2016-11-04(中国大陆/美国),115分钟,7.6,536016
10741834,复仇者联盟2：奥创纪元 Avengers: Age of Ultron,乔斯·韦登,"动作,科幻,奇幻,冒险",美国,"英语,韩语",2015-05-12(中国大陆),142分钟,7.5,469392
25907124,姜子牙,程腾,"剧情,动画,奇幻",中国大陆,汉语普通话,2020-10-01(中国大陆),110分钟,6.6,563064
30128916,夺冠,陈可辛,"剧情,运动","中国大陆,中国香港","汉语普通话,英语,日语,葡萄牙语",2020-09-25(中国大陆),135分钟,7.1,398287
24753477,蜘蛛侠：英雄归来 Spider-Man: Homecoming,乔·沃茨,"动作,科幻,冒险",美国,英语,2017-09-08(中国大陆),133分钟,7.3,402085
34785763,俗女养成记 俗女養成記,,"剧情,喜剧",中国台湾,"汉语普通话,闽南语",,,9.2,136293
26325320,血战钢锯岭 Hacksaw Ridge,梅尔·吉布森,"剧情,传记,历史,战争","澳大利亚,美国","英语,日语",2016-12-08(中国大陆),139分钟(中国大陆),8.7,713325
33447642,沉默的真相,,"剧情,悬疑,犯罪",中国大陆,汉语普通话,,,9.0,730750
30382416,毒液2 Venom: Let There Be Carnage,安迪·瑟金斯,"动作,科幻,惊悚",美国,英语,2021-10-01(美国),97分钟,5.0,125291
3066739,钢铁侠2 Iron Man 2,乔恩·费儒,"动作,科幻,冒险",美国,"英语,法语,俄语",2010-05-07(中国大陆/美国),124 分钟,7.7,387606
30444960,信条 Tenet,克里斯托弗·诺兰,"剧情,动作,科幻","美国,英国","英语,俄语,乌克兰语,爱沙尼亚语,印地语,挪威语",2020-09-04(中国大陆),150分钟,7.6,649122
25986662,疯狂的外星人,宁浩,"喜剧,科幻",中国大陆,"汉语普通话,英语",2019-02-05(中国大陆),116分钟,6.4,642966
2138838,美国队长 Captain America: The First Avenger,乔·庄斯顿,"动作,科幻,冒险",美国,"英语,挪威语,法语",2011-09-09(中国大陆),124分钟(美国),7.1,341591
1291552,指环王3：王者无敌 The Lord of the Rings: The Return of the King,彼得·杰克逊,"剧情,动作,奇幻,冒险","美国,新西兰","英语,昆雅语,古英语,辛达林语",2004-03-12(中国大陆),201分钟,9.3,718727
24733428,心灵奇旅 Soul,彼特·道格特,"动画,音乐,奇幻",美国,英语,2020-12-25(中国大陆/美国网络),101分钟,8.7,833789
24751756,老炮儿,管虎,"剧情,犯罪",中国大陆,汉语普通话,2015-12-24(中国大陆),137分钟(中国大陆),7.6,712426
34792351,魔道祖师 第三季,,"剧情,动画,奇幻,古装",中国大陆,汉语普通话,,,8.9,23605
3231742,钢铁侠3 Iron Man 3,沙恩·布莱克,"动作,科幻","美国,中国大陆","英语,汉语普通话",2013-05-01(中国大陆),134分钟(中国大陆),7.8,397118
1292223,七宗罪 Se7en,大卫·芬奇,"剧情,悬疑,惊悚,犯罪",美国,英语,1995-09-22(美国),127分钟,8.8,859000
1292215,天使爱美丽 Le fabuleux destin d'Amélie Poulain,让-皮埃尔·热内,"剧情,喜剧,爱情","法国,德国","法语,俄语",2001-04-25(法国),122分钟,8.7,897128
7065154,银河护卫队 Guardians of the Galaxy,詹姆斯·古恩,"动作,科幻,冒险","美国,英国","英语,萨卡语",2014-10-10(中国大陆),121分钟,8.1,470090
25820460,美国队长3 Captain America: Civil War,安东尼·罗素,"动作,科幻,冒险",美国,"科萨语,英语,德语,俄语,罗马尼亚语",2016-05-06(中国大陆/美国),148分钟(中国大陆),7.9,430778
1291572,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,彼得·杰克逊,"剧情,动作,奇幻,冒险","美国,新西兰","英语,辛达林语,古代英语",2003-04-25(中国大陆),180分钟,9.2,670661
1292656,心灵捕手 Good Will Hunting,格斯·范·桑特,剧情,美国,英语,1997-12-05(美国),126 分钟,8.9,634463
1296339,爱在黎明破晓前 Before Sunrise,理查德·林克莱特,"剧情,爱情","美国,奥地利,瑞士","英语,德语,法语",1995-01-27(美国),101分钟,8.8,585980
5350027,妖猫传,陈凯歌,"剧情,悬疑,奇幻,古装","中国大陆,日本","汉语普通话,日语",2017-12-22(中国大陆),129分钟(中国大陆),6.9,678665
35131244,国子监来了个女弟子,,"剧情,爱情,古装",中国大陆,汉语普通话,,,3.8,36798
6390823,美国队长2 Captain America: The Winter Soldier,安东尼·罗素,"动作,科幻,冒险",美国,"英语,法语",2014-04-04(美国/中国大陆),136分钟,8.0,412191
6874741,无问西东,李芳芳,"剧情,爱情,战争",中国大陆,汉语普通话,2018-01-12(中国大陆),138分钟,7.5,682283
30318116,利刃出鞘 Knives Out,莱恩·约翰逊,"剧情,喜剧,悬疑,犯罪",美国,"英语,西班牙语",2019-11-29(中国大陆),130分钟,8.1,728363
25864085,火星救援 The Martian,雷德利·斯科特,"剧情,科幻,冒险","英国,美国,匈牙利,约旦","英语,汉语普通话",2015-11-25(中国大陆),144分钟,8.5,636248
